feature,base_rmse,ablated_rmse,rmse_change,base_r2,ablated_r2,r2_change
runtime,1.3732689722681009,1.5018735171464552,0.12860454487835438,0.34414458112675705,0.21555298547162294,-0.12859159565513412
cast_count,1.3732689722681009,1.4665892673195686,0.09332029505146777,0.34414458112675705,0.2519788101324628,-0.09216577099429424
has_director,1.3732689722681009,1.4412747403274604,0.06800576805935954,0.34414458112675705,0.27757885960894724,-0.06656572151780982
main_genre_Documentary,1.3732689722681009,1.4355178979478593,0.06224892567975848,0.34414458112675705,0.2833384260592401,-0.060806155067516965
production_count,1.3732689722681009,1.412933798006548,0.039664825738447096,0.34414458112675705,0.3057106182692485,-0.03843396285750855
main_genre_Horror,1.3732689722681009,1.4018486618621038,0.02857968959400292,0.34414458112675705,0.31656194307753494,-0.02758263804922212
writers_count,1.3732689722681009,1.4014509373876034,0.02818196511950255,0.34414458112675705,0.3169496903284673,-0.02719489079828974
main_genre_Music,1.3732689722681009,1.4014297576887853,0.028160785420684453,0.34414458112675705,0.31697033563275057,-0.027174245494006488
is_english,1.3732689722681009,1.395924603738355,0.02265563147025418,0.34414458112675705,0.32232600612696904,-0.02181857499978801
genre_count,1.3732689722681009,1.3954797036581856,0.02221073139008478,0.34414458112675705,0.32275790505298907,-0.021386676073767985
original_language_ja,1.3732689722681009,1.3892490818694612,0.015980109601360315,0.34414458112675705,0.3287919867986119,-0.015352594328145175
is_drama,1.3732689722681009,1.3873711819378172,0.014102209669716315,0.34414458112675705,0.3306053543107301,-0.013539226816026928
runtime_category_短片,1.3732689722681009,1.3849544560874867,0.011685483819385833,0.34414458112675705,0.3329354219299522,-0.011209159196804874
main_genre_Animation,1.3732689722681009,1.3846460207647262,0.011377048496625353,0.34414458112675705,0.3332325051549545,-0.010912075971802548
is_action,1.3732689722681009,1.3836306289673495,0.0103616566992486,0.34414458112675705,0.33421005753178923,-0.009934523594967826
original_language_ru,1.3732689722681009,1.3803954393081561,0.007126467040055262,0.34414458112675705,0.33731990276541146,-0.006824678361345593
is_comedy,1.3732689722681009,1.3803705861166973,0.007101613848596422,0.34414458112675705,0.33734376486550244,-0.006800816261254616
main_genre_Unknown,1.3732689722681009,1.3803583433026139,0.0070893710345130145,0.34414458112675705,0.33735551930477037,-0.006789061821986686
original_language_en,1.3732689722681009,1.379904678466002,0.006635706197901214,0.34414458112675705,0.3377910136114385,-0.00635356751531857
original_language_es,1.3732689722681009,1.379893163589763,0.006624191321662254,0.34414458112675705,0.33780206542222857,-0.006342515704528484
main_genre_Comedy,1.3732689722681009,1.379658695258449,0.006389722990348234,0.34414458112675705,0.33802708465955,-0.006117496467207051
runtime_category_标准,1.3732689722681009,1.3790961973810534,0.005827225112952528,0.34414458112675705,0.3385667579197733,-0.005577823206983745
original_language_ar,1.3732689722681009,1.3787449476053826,0.005475975337281724,0.34414458112675705,0.33890364332609146,-0.0052409378006655905
main_genre_Thriller,1.3732689722681009,1.3777282552636196,0.004459282995518787,0.34414458112675705,0.33987827433065065,-0.0042663067961064005
original_language_nl,1.3732689722681009,1.3768148059232987,0.003545833655197894,0.34414458112675705,0.34075332042004736,-0.003391260706709698
main_genre_Drama,1.3732689722681009,1.3765721228621044,0.0033031505940035455,0.34414458112675705,0.34098570302012066,-0.003158878106636398
original_language_ml,1.3732689722681009,1.3763983948088399,0.003129422540739002,0.34414458112675705,0.3411520321859086,-0.0029925489408484385
main_genre_Romance,1.3732689722681009,1.376158243490938,0.0028892712228372197,0.34414458112675705,0.34138192115573773,-0.002762659971019321
main_genre_TV Movie,1.3732689722681009,1.375991423487671,0.0027224512195700434,0.34414458112675705,0.34154158885563946,-0.002602992271117599
original_language_fr,1.3732689722681009,1.3759730589263797,0.0027040866582788148,0.34414458112675705,0.3415591648651235,-0.002585416261633555
original_language_hi,1.3732689722681009,1.3758392457203628,0.0025702734522619064,0.34414458112675705,0.34168722521383543,-0.0024573559129216216
original_language_zh,1.3732689722681009,1.3758218633392123,0.0025528910711114516,0.34414458112675705,0.34170385938285963,-0.0024407217438974227
