feature,perturbation,base_rmse,perturbed_rmse,rmse_change,base_r2,perturbed_r2,r2_change
runtime,0.8,1.3732689722681009,1.433935600715334,0.06066662844723325,0.34414458112675705,0.2849174334231305,-0.05922714770362658
runtime,0.9,1.3732689722681009,1.417672053137981,0.044403080869880096,0.34414458112675705,0.30104622953801585,-0.0430983515887412
runtime,1.1,1.3732689722681009,1.408015041799491,0.034746069531390145,0.34414458112675705,0.31053617475319995,-0.03360840637355711
runtime,1.2,1.3732689722681009,1.4202692659709741,0.047000293702873286,0.34414458112675705,0.29848287990264133,-0.045661701224115725
cast_count,0.8,1.3732689722681009,1.4149317637703713,0.04166279150227048,0.34414458112675705,0.3037457035910389,-0.040398877535718136
cast_count,0.9,1.3732689722681009,1.3971047468492108,0.02383577458110997,0.34414458112675705,0.3211796829565372,-0.02296489817021985
cast_count,1.1,1.3732689722681009,1.3995744857491959,0.026305513481095,0.34414458112675705,0.3187775856543571,-0.025366995472399956
cast_count,1.2,1.3732689722681009,1.4070186886572111,0.033749716389110285,0.34414458112675705,0.3115115995540719,-0.03263298157268513
writers_count,0.8,1.3732689722681009,1.3837279389182475,0.010458966650146673,0.34414458112675705,0.33411640498680406,-0.010028176139952993
writers_count,0.9,1.3732689722681009,1.3835350700181417,0.010266097750040837,0.34414458112675705,0.3343020184770946,-0.009842562649662434
writers_count,1.1,1.3732689722681009,1.3813972639812344,0.008128291713133562,0.34414458112675705,0.3363576709841112,-0.007786910142645875
writers_count,1.2,1.3732689722681009,1.3814608592454272,0.008191886977326313,0.34414458112675705,0.33629656549067144,-0.007848015636085615
production_count,0.8,1.3732689722681009,1.381490794763471,0.008221822495370068,0.34414458112675705,0.3362678009820367,-0.007876780144720374
production_count,0.9,1.3732689722681009,1.3814154202544637,0.008146447986362881,0.34414458112675705,0.3363402258205068,-0.0078043553062502324
production_count,1.1,1.3732689722681009,1.3921360731748165,0.018867100906715617,0.34414458112675705,0.32599942042564667,-0.018145160701110385
production_count,1.2,1.3732689722681009,1.3921665128414407,0.01889754057333981,0.34414458112675705,0.3259699454660625,-0.01817463566069455
genre_count,0.8,1.3732689722681009,1.3891511124915743,0.01588214022347345,0.34414458112675705,0.32888665018724983,-0.015257930939507225
genre_count,0.9,1.3732689722681009,1.3891381870176533,0.015869214749552496,0.34414458112675705,0.32889913899090395,-0.015245442135853104
genre_count,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
genre_count,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
has_director,0.8,1.3732689722681009,1.4412747403274604,0.06800576805935954,0.34414458112675705,0.27757885960894724,-0.06656572151780982
has_director,0.9,1.3732689722681009,1.4412747403274604,0.06800576805935954,0.34414458112675705,0.27757885960894724,-0.06656572151780982
has_director,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
has_director,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_action,0.8,1.3732689722681009,1.3836306289673495,0.0103616566992486,0.34414458112675705,0.33421005753178923,-0.009934523594967826
is_action,0.9,1.3732689722681009,1.3836306289673495,0.0103616566992486,0.34414458112675705,0.33421005753178923,-0.009934523594967826
is_action,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_action,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_drama,0.8,1.3732689722681009,1.3873711819378172,0.014102209669716315,0.34414458112675705,0.3306053543107301,-0.013539226816026928
is_drama,0.9,1.3732689722681009,1.3873711819378172,0.014102209669716315,0.34414458112675705,0.3306053543107301,-0.013539226816026928
is_drama,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_drama,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_comedy,0.8,1.3732689722681009,1.3803705861166973,0.007101613848596422,0.34414458112675705,0.33734376486550244,-0.006800816261254616
is_comedy,0.9,1.3732689722681009,1.3803705861166973,0.007101613848596422,0.34414458112675705,0.33734376486550244,-0.006800816261254616
is_comedy,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_comedy,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_english,0.8,1.3732689722681009,1.395924603738355,0.02265563147025418,0.34414458112675705,0.32232600612696904,-0.02181857499978801
is_english,0.9,1.3732689722681009,1.395924603738355,0.02265563147025418,0.34414458112675705,0.32232600612696904,-0.02181857499978801
is_english,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
is_english,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Action,0.8,1.3732689722681009,1.375161938000148,0.0018929657320472248,0.34414458112675705,0.3423352232637972,-0.0018093578629598817
main_genre_Action,0.9,1.3732689722681009,1.375161938000148,0.0018929657320472248,0.34414458112675705,0.3423352232637972,-0.0018093578629598817
main_genre_Action,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Action,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Adventure,0.8,1.3732689722681009,1.3752989528445763,0.0020299805764754097,0.34414458112675705,0.34220416331566106,-0.0019404178110959958
main_genre_Adventure,0.9,1.3732689722681009,1.3752989528445763,0.0020299805764754097,0.34414458112675705,0.34220416331566106,-0.0019404178110959958
main_genre_Adventure,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Adventure,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Animation,0.8,1.3732689722681009,1.3846460207647262,0.011377048496625353,0.34414458112675705,0.3332325051549545,-0.010912075971802548
main_genre_Animation,0.9,1.3732689722681009,1.3846460207647262,0.011377048496625353,0.34414458112675705,0.3332325051549545,-0.010912075971802548
main_genre_Animation,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Animation,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Comedy,0.8,1.3732689722681009,1.379658695258449,0.006389722990348234,0.34414458112675705,0.33802708465955,-0.006117496467207051
main_genre_Comedy,0.9,1.3732689722681009,1.379658695258449,0.006389722990348234,0.34414458112675705,0.33802708465955,-0.006117496467207051
main_genre_Comedy,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Comedy,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Crime,0.8,1.3732689722681009,1.3748622237505375,0.0015932514824366084,0.34414458112675705,0.342621865904997,-0.0015227152217600626
main_genre_Crime,0.9,1.3732689722681009,1.3748622237505375,0.0015932514824366084,0.34414458112675705,0.342621865904997,-0.0015227152217600626
main_genre_Crime,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Crime,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Documentary,0.8,1.3732689722681009,1.4355178979478593,0.06224892567975848,0.34414458112675705,0.2833384260592401,-0.060806155067516965
main_genre_Documentary,0.9,1.3732689722681009,1.4355178979478593,0.06224892567975848,0.34414458112675705,0.2833384260592401,-0.060806155067516965
main_genre_Documentary,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Documentary,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Drama,0.8,1.3732689722681009,1.3765721228621044,0.0033031505940035455,0.34414458112675705,0.34098570302012066,-0.003158878106636398
main_genre_Drama,0.9,1.3732689722681009,1.3765721228621044,0.0033031505940035455,0.34414458112675705,0.34098570302012066,-0.003158878106636398
main_genre_Drama,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Drama,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Family,0.8,1.3732689722681009,1.3754687599976552,0.0021997877295543145,0.34414458112675705,0.34204171814871687,-0.0021028629780401875
main_genre_Family,0.9,1.3732689722681009,1.3754687599976552,0.0021997877295543145,0.34414458112675705,0.34204171814871687,-0.0021028629780401875
main_genre_Family,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Family,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Fantasy,0.8,1.3732689722681009,1.3750368465204104,0.0017678742523095092,0.34414458112675705,0.34245486665423386,-0.001689714472523196
main_genre_Fantasy,0.9,1.3732689722681009,1.3750368465204104,0.0017678742523095092,0.34414458112675705,0.34245486665423386,-0.001689714472523196
main_genre_Fantasy,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Fantasy,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_History,0.8,1.3732689722681009,1.3735085692922613,0.00023959702416043172,0.34414458112675705,0.34391570431067775,-0.0002288768160793042
main_genre_History,0.9,1.3732689722681009,1.3735085692922613,0.00023959702416043172,0.34414458112675705,0.34391570431067775,-0.0002288768160793042
main_genre_History,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_History,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Horror,0.8,1.3732689722681009,1.4018486618621038,0.02857968959400292,0.34414458112675705,0.31656194307753494,-0.02758263804922212
main_genre_Horror,0.9,1.3732689722681009,1.4018486618621038,0.02857968959400292,0.34414458112675705,0.31656194307753494,-0.02758263804922212
main_genre_Horror,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Horror,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Music,0.8,1.3732689722681009,1.4014297576887853,0.028160785420684453,0.34414458112675705,0.31697033563275057,-0.027174245494006488
main_genre_Music,0.9,1.3732689722681009,1.4014297576887853,0.028160785420684453,0.34414458112675705,0.31697033563275057,-0.027174245494006488
main_genre_Music,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Music,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Mystery,0.8,1.3732689722681009,1.3747960964766908,0.001527124208589914,0.34414458112675705,0.3426851007189756,-0.0014594804077814327
main_genre_Mystery,0.9,1.3732689722681009,1.3747960964766908,0.001527124208589914,0.34414458112675705,0.3426851007189756,-0.0014594804077814327
main_genre_Mystery,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Mystery,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Romance,0.8,1.3732689722681009,1.376158243490938,0.0028892712228372197,0.34414458112675705,0.34138192115573773,-0.002762659971019321
