room,showtime,id,version,attendance
R01,10:00,402101,2D,82
R01,13:30,402101,2D,82
R01,18:00,723921,2D,81
R01,20:45,723921,2D,81
R01,24:30,979924,2D,76
R02,20:45,829280,2D,58
R03,18:00,192801,2D,64
R03,20:30,829280,2D,64
R03,23:15,663712,2D,50
R04,10:00,676701,2D,81
R04,11:45,180219,2D,94
R04,15:30,676701,2D,81
R04,18:15,180219,2D,94
R04,20:45,721193,IMAX,96
R04,24:15,979924,2D,88
R05,18:15,402101,2D,63
R05,20:45,723921,2D,62
R05,24:30,663712,2D,50
R06,18:15,192801,2D,64
R06,20:30,721193,3D,64
R07,18:00,180219,2D,75
R07,20:45,721193,IMAX,76
R07,24:00,979924,2D,70
R08,18:15,192801,2D,64
R08,20:30,829280,2D,64
R08,23:30,663712,2D,50
