room,showtime,id,version,attendance
R01,11:45,180219,2D,73
R01,15:45,180219,2D,73
R01,18:00,723921,2D,78
R01,20:45,723921,2D,78
R01,24:00,979924,2D,70
R02,18:15,180219,2D,51
R03,18:00,402101,2D,61
R03,20:30,829280,2D,64
R03,23:15,663712,2D,52
R04,10:00,676701,2D,80
R04,11:45,192801,2D,95
R04,15:15,676701,2D,80
R04,18:00,192801,2D,95
R04,20:15,721193,IMAX,94
R04,24:15,979924,2D,80
R05,18:15,402101,2D,61
R05,20:45,723921,2D,60
R05,24:30,663712,2D,52
R06,18:00,829280,2D,64
R06,20:45,721193,3D,63
R07,18:15,192801,2D,76
R07,20:30,721193,IMAX,75
R07,24:00,979924,2D,64
R08,18:00,402101,2D,61
R08,20:30,829280,2D,64
R08,24:15,663712,2D,52
