room,showtime,id,version,attendance
R01,10:30,829280,2D,83
R01,13:30,402101,2D,81
R01,18:15,192801,2D,89
R01,20:45,721193,3D,82
R01,25:00,979924,2D,79
R02,18:00,402101,2D,56
R03,18:00,180219,2D,59
R03,20:45,829280,2D,63
R03,24:30,663712,2D,50
R04,10:00,676701,2D,79
R04,11:45,676701,2D,79
R04,15:45,180219,2D,89
R04,18:30,192801,2D,102
R04,20:45,721193,IMAX,95
R04,24:15,979924,2D,92
R05,18:00,180219,2D,59
R05,20:30,829280,2D,63
R05,24:30,663712,2D,50
R06,18:15,402101,2D,62
R06,20:45,723921,2D,61
R06,24:00,663712,2D,50
R07,18:15,192801,2D,82
R07,20:30,721193,IMAX,76
R07,24:15,979924,2D,73
R08,18:00,723921,2D,61
R08,20:45,723921,2D,61
