room,showtime,id,version,attendance
R01,10:30,829280,2D,84
R01,14:00,180219,2D,77
R01,18:15,180219,2D,77
R01,20:30,721193,3D,84
R01,23:45,979924,2D,72
R02,18:00,402101,2D,58
R03,18:00,402101,2D,64
R03,20:15,723921,2D,60
R03,23:15,663712,2D,53
R04,10:00,676701,2D,75
R04,11:45,192801,2D,96
R04,15:00,676701,2D,75
R04,18:30,180219,2D,89
R04,20:45,721193,IMAX,97
R04,24:15,979924,2D,83
R05,18:15,402101,2D,64
R05,20:30,829280,2D,64
R05,24:30,663712,2D,53
R06,18:15,192801,2D,64
R06,20:30,723921,2D,60
R06,23:15,663712,2D,53
R07,18:15,192801,2D,77
R07,20:30,721193,IMAX,77
R07,24:00,979924,2D,66
R08,18:00,723921,2D,60
R08,20:45,829280,2D,64
