room,showtime,id,version,attendance
R01,10:00,829280,2D,83
R01,15:45,180219,2D,76
R01,18:15,192801,2D,84
R01,20:30,721193,3D,82
R01,24:30,979924,2D,75
R02,20:45,829280,2D,57
R03,18:00,402101,2D,65
R03,20:30,723921,2D,63
R03,23:15,663712,2D,52
R04,10:00,676701,2D,80
R04,11:45,192801,2D,97
R04,16:00,676701,2D,80
R04,18:30,192801,2D,97
R04,20:45,721193,IMAX,94
R04,25:00,979924,2D,87
R05,18:15,402101,2D,65
R05,20:30,829280,2D,63
R05,24:30,663712,2D,52
R06,18:00,723921,2D,63
R06,20:45,723921,2D,63
R07,18:15,180219,2D,70
R07,20:45,721193,IMAX,75
R07,24:15,979924,2D,70
R08,18:00,402101,2D,65
R08,20:15,180219,2D,58
R08,24:15,663712,2D,52
