room,showtime,id,version,attendance
R01,10:00,402101,2D,80
R01,13:30,402101,2D,80
R01,18:00,723921,2D,80
R01,20:45,723921,2D,80
R01,24:00,979924,2D,69
R02,18:00,402101,2D,55
R03,18:15,180219,2D,59
R03,20:45,829280,2D,61
R03,24:30,663712,2D,53
R04,10:00,676701,2D,77
R04,11:45,192801,2D,95
R04,14:45,676701,2D,77
R04,18:15,192801,2D,95
R04,20:45,721193,IMAX,96
R04,24:15,979924,2D,80
R05,18:00,829280,2D,61
R05,20:45,180219,2D,59
R05,24:30,663712,2D,53
R06,18:15,180219,2D,59
R06,20:30,723921,2D,62
R06,23:30,663712,2D,53
R07,18:15,192801,2D,76
R07,20:30,721193,IMAX,77
R07,24:00,979924,2D,64
R08,18:00,829280,2D,61
R08,20:45,721193,3D,64
